topology;archetype;small_cluster;d_nearest_large;d_other_large;centrality;d_small_small;d_large_large;rho_comp
0001;A;Small_cluster1;309.75382402539253;1120.7316918028191;0.2763853527931558;237.68052542582154;1400.4627688787878;0.3836603570168311
0001;A;Small_cluster2;309.75382402539253;1120.7316918028191;0.2763853527931558;237.68052542582154;1400.4627688787878;0.3836603570168311
0002;A;Small_cluster1;469.50948648154736;1344.7053110025818;0.34915418466778547;883.6025139316916;1428.9617264643312;0.9409847291407379
0002;A;Small_cluster2;469.50948648154736;1344.7053110025818;0.34915418466778547;883.6025139316916;1428.9617264643312;0.9409847291407379
0003;A;Small_cluster1;229.03250753879547;521.2853652451071;0.43936109242411775;431.8557471036911;550.8226294070482;0.9427826463248666
0003;A;Small_cluster2;229.03250753879547;521.2853652451071;0.43936109242411775;431.8557471036911;550.8226294070482;0.9427826463248666
0004;A;Small_cluster1;417.02634766697884;1214.9012220390794;0.34325946842579147;580.5635781027377;1479.124301765114;0.6960754174774029
0004;A;Small_cluster2;417.02634766697884;1214.9012220390794;0.34325946842579147;580.5635781027377;1479.124301765114;0.6960754174774029
0005;A;Small_cluster1;364.4574701786041;673.9570483056617;0.5407725478869251;695.0324016623199;687.2777530923486;0.953516471101163
0005;A;Small_cluster2;364.4574701786041;673.9570483056617;0.5407725478869251;695.0324016623199;687.2777530923486;0.953516471101163
0006;A;Small_cluster1;296.6674916446209;1197.6872263019866;0.24770030532981466;521.0876543074846;1310.8795332722366;0.8782351774014011
0006;A;Small_cluster2;296.6674916446209;1197.6872263019866;0.24770030532981466;521.0876543074846;1310.8795332722366;0.8782351774014011
0007;A;Small_cluster1;131.40955939888954;934.0857359973028;0.14068254586779066;130.55755151435733;1045.8508430980146;0.4967581967079504
0007;A;Small_cluster2;131.40955939888954;934.0857359973028;0.14068254586779066;130.55755151435733;1045.8508430980146;0.4967581967079504
0008;A;Small_cluster1;179.15244586765766;1032.785058285755;0.17346537348731575;344.5778517983854;1067.4264550209045;0.9616889407497392
