Unnamed: 0;Demand;Import limit;Export limit;Import price;Export price;Import emission factor;Export emission factor;Generic production
2022-01-01 00:00:00;1788.535895271341;1000.0;;270.0;;;;
2022-01-01 01:00:00;1664.125971865272;1000.0;;270.0;;;;
2022-01-01 02:00:00;1405.568049251976;1000.0;;270.0;;;;
2022-01-01 03:00:00;1590.931795163951;1000.0;;270.0;;;;
2022-01-01 04:00:00;1777.620210748017;1000.0;;270.0;;;;
2022-01-01 05:00:00;1929.591990211985;1000.0;;270.0;;;;
2022-01-01 06:00:00;1209.332404033483;1000.0;;270.0;;;;
2022-01-01 07:00:00;1624.01520758569;1000.0;;270.0;;;;
2022-01-01 08:00:00;1659.932174364238;1000.0;;270.0;;;;
2022-01-01 09:00:00;2014.764659064503;1000.0;;270.0;;;;
2022-01-01 10:00:00;1790.883110673818;1000.0;;270.0;;;;
2022-01-01 11:00:00;1721.329572514317;1000.0;;270.0;;;;
2022-01-01 12:00:00;2007.736703563247;1000.0;;270.0;;;;
2022-01-01 13:00:00;1703.483126656637;1000.0;;270.0;;;;
2022-01-01 14:00:00;1806.811011070747;1000.0;;270.0;;;;
2022-01-01 15:00:00;2019.327134795662;1000.0;;270.0;;;;
2022-01-01 16:00:00;1929.214385022559;1000.0;;270.0;;;;
2022-01-01 17:00:00;1819.89781307315;1000.0;;270.0;;;;
2022-01-01 18:00:00;1946.01070028267;1000.0;;270.0;;;;
2022-01-01 19:00:00;1837.595266883674;1000.0;;270.0;;;;
2022-01-01 20:00:00;1610.14213975454;1000.0;;270.0;;;;
2022-01-01 21:00:00;1755.675374221228;1000.0;;270.0;;;;
2022-01-01 22:00:00;1763.17691940877;1000.0;;270.0;;;;
2022-01-01 23:00:00;2159.711766508966;1000.0;;270.0;;;;
2022-01-02 00:00:00;1701.337764754597;1000.0;;270.0;;;;
2022-01-02 01:00:00;1722.02075809166;1000.0;;270.0;;;;
2022-01-02 02:00:00;1443.444649063139;1000.0;;270.0;;;;
2022-01-02 03:00:00;1656.842700976333;1000.0;;270.0;;;;
2022-01-02 04:00:00;1572.990735236927;1000.0;;270.0;;;;
2022-01-02 05:00:00;1595.646575280933;1000.0;;270.0;;;;
2022-01-02 06:00:00;1975.534604431125;1000.0;;270.0;;;;
2022-01-02 07:00:00;1641.330145202847;1000.0;;270.0;;;;
