ghi;dni;dhi;temp_air;rh;ws10
0.0;0.0;0.0;5.47;90.09;5.37
0.0;0.0;0.0;4.65;91.52;4.84
0.0;0.0;0.0;3.82;92.96;4.31
0.0;0.0;0.0;3.0;94.39;3.78
0.0;0.0;0.0;2.18;95.82;3.26
0.0;0.0;0.0;1.36;97.25;2.73
0.0;0.0;0.0;0.54;98.68;2.2
0.0;0.0;0.0;-0.28;100.0;1.68
1.0;0.0;1.0;1.05;99.35;2.48
39.0;0.0;39.0;1.6;95.65;2.76
47.0;0.0;47.0;2.11;95.65;2.55
69.0;0.0;69.0;2.94;88.7;2.62
73.0;0.0;73.0;3.81;88.75;2.62
64.0;0.0;64.0;4.37;82.35;2.69
38.0;0.0;38.0;4.44;82.35;2.55
10.0;0.0;10.0;3.95;85.5;2.14
0.0;0.0;0.0;2.98;88.7;2.41
0.0;0.0;0.0;2.6;92.15;2.55
0.0;0.0;0.0;2.41;92.15;2.69
0.0;0.0;0.0;2.27;95.65;2.76
0.0;0.0;0.0;2.33;95.65;2.76
0.0;0.0;0.0;2.3;95.65;2.62
0.0;0.0;0.0;2.24;95.65;2.62
0.0;0.0;0.0;2.09;95.65;2.9
0.0;0.0;0.0;1.98;95.65;2.76
0.0;0.0;0.0;2.04;95.65;2.69
0.0;0.0;0.0;2.12;95.65;2.55
0.0;0.0;0.0;2.22;99.4;2.55
0.0;0.0;0.0;2.37;95.7;2.55
0.0;0.0;0.0;2.63;95.7;2.76
0.0;0.0;0.0;2.9;95.7;2.83
0.0;0.0;0.0;2.29;95.65;3.03
1.0;0.0;1.0;2.56;95.7;3.24
40.0;7.33;39.0;3.02;95.7;3.17
71.0;4.69;70.0;3.67;95.7;3.52
66.0;0.0;66.0;4.48;92.25;3.72
61.0;0.0;61.0;5.1;92.25;4.21
67.0;4.49;66.0;5.77;92.3;4.28
45.0;6.61;44.0;6.18;92.3;4.41
4.0;0.0;4.0;6.31;92.3;4.55
0.0;0.0;0.0;6.33;95.8;4.69
0.0;0.0;0.0;6.38;95.8;5.1
0.0;0.0;0.0;6.55;92.35;5.45
0.0;0.0;0.0;6.6;92.35;5.45
0.0;0.0;0.0;6.87;92.35;5.72
